text,label
democrats believe that the united states should defend freedom of the press.,2
sdlp mps will fight to protect eu nationals who have made their home here.,0
"children from socially deprived backgrounds are adversely affected because their applications for places are most likely to be turned down, especially if parents are unable to pay for ‘top-ups’ such as meals, nappies and so on.",1
"any form of brexit will damage our economy, put jobs at risk, hurt our nhs and put our family of nations under enormous strain.",0
the government has weakened employment rights and promoted a hire-andfire culture.,1
the anc has decided to provide jobs for its supporters and to appease the powerful public sector trades unions in a context where the economy is actually contracting.,0
"we will: make saving energy a top infrastructure priority,",0
"the department for international development,",0
"though more work remains to be done, including reauthorizing the small business administration, president bush and congressional republicans have made good on each of those commitments.",1
"in recent years some of these services have been provided through charities and community employment and partnership schemes, which have been vulnerable to cutbacks during the recent downturn.",2
we will not allow the nhs or third parties under contract to employ home care workers on zero hour contracts of any kind.,1
"president obama’s administration has streamlined the process of legal immigration for immediate relatives of u.s. citizens,",0
"we want them to have a prosperous, sustainable future, and help them cope with the challenges facing them, from floods to animal diseases.",0
– all of which have proved serious stumbling blocks to meaningful land reform.,0
improved interconnection with great britain; and,0
we will constrain the right of the prime minister to suppress publication of committee reports.,1
we will sustain it and make it a service that everyone can be proud of and others envy.,1
"according to the oecd, the royalties charged for taking minerals that belong to us all are extremely low in new zealand.",0
households earning less than r4000 a month will qualify for a voucher of between r130 000 and r150 000.,1
yet we have one of the highest real interest rates in the developed world.,2
ftth is fibre optic cable capable of delivering download speeds of up to 1 gigabit per second (gbps) directly to households and businesses.,0
each union is worth billions of pounds to the welsh economy and supports tens of thousands of jobs.,1
energy companies have been caught out charging their customers a carbon charge of $25 per tonne of carbon dioxide equivalent (co2e) while actually paying considerably less. 14,1
"we are determined to build a 21st century immigration system that embodies our values,",0
ensure dignity and prosperity for all south africans.,2
scrap the human rights act,0
the erosion of democracy in hong kong;,1
"and a new sustainable economy act, including targets for new soil quality and biodiversity standards.",0
advocate for international initiatives to:assist developing countries to establish economic alternatives to forest clearance; and,0
"it will connect to northern and southern rail networks, providing significant benefits to commuters from both directions.",0
"labour’s plan to expand the community care sector, to enable older people to be discharged from hospital and cared for in their communities, is detailed in our proposals on universal health insurance.",1
"ladies and gentlemen, those are my 11 key commitments.",2
redevelopment of the stadium at lansdowne road,0
"we will bring forward cat microchipping, giving cat owners peace of mind and increasing the measures we have available to tackle cat theft.",2
"expanding education and health care,",1
president bush and the republican congress enacted the d.c. school choice initiative - the first federally funded school choice demonstration program.,1
"cutting bureaucracy and removing all unnecessary interventions that disrupt the essential child/teacher relationship,",0
"an anc government will, in its health programme, do the following: promote safe motherhood and play a major role in caring for the nation`s children through programmes of immunisation, nutrition and free health care for children under five;",1
a healthcare system underpinned by medicare.,1
and to eventually ridding the planet of these catastrophic weapons.,2
"implement a drive to recruit and retain suitable, qualified and experienced staff.",0
"supporting mechanisms that minimise disruption to the north-south supply chains in agri-food and maximise potential for sales into great britain, eu, and international markets.",0
"o where appropriate in order to broaden critical expertise and increase the independence of members, appointments may be made of persons living outside the state.",0
appoint qualified and competent people to head the country’s prosecution and policing agencies.,0
"and have deported suspected terrorists such as abu qatada, despite all the problems created by labour’s human rights laws.",2
help people still experiencing frustration with residual issues from the earthquakes move forward by:,1
"third, we’re investing in the infrastructure and public services our growing country deserves with new schools and hospitals,",1
and take advantage of new high-growth markets around the world.,2
the coalition will provide $2 million to the establishment of the hub at utas in launceston.,0
"we will support new technologies and approaches that will let us live longer, healthier lives.",0
"in 2014, the liberals tried to cut the indexation arrangement for every one of queensland’s 812,000 pensioners.",1
"a re-elected conservative government will increase support for the agri-marketing program to help promote canada's agricultural and agri-food products around the world, building on our international reputation for excellence",0
this will be essential to keep up with the disruptive impact of new technology.,0
there is a digital renaissance that māori can and should take a lead role in ensuring current and future generations have access to digital content and supporting technologies.,0
our constitution and laws guarantee equal rights for all south africans.,0
action is taken to achieve genuine redress for the social and economic legacy of apartheid.,0
"as will devolved governments in wales, scotland and northern ireland.",0
without detaining americans in undisclosed locations without cause;,2
"this crisis has underlined the importance of strong, sustainable social protection systems.",1
it recognizes the wisdom of local control of our schools,0
act knows that rural and regional new zealand are where our wealth is created.,0
"as a primary mechanism to improve outcomes for vulnerable māori children, young people and their whānau",0
"crime, and cyber-security.",2
"yet south africans have come to expect indifference and incompetence from a public service driven, at heart, by a belief that it is there to serve its own interests rather than those of our citizens.",0
it is important to reaffirm that the war we wage against terrorists is not a battle of faiths.,0
"a prosperous, world class economy, delivering equality and opportunity to all our citizens.",0
"kap proposes to better utilise the existing funding, more efficiently and productively.",1
3d printing has a number of advantages over traditional manufacturing techniques that is driving its growth.,0
fine gael will encourage county councils to play a significant role in the regional action plan for jobs and ensure that economic recovery is felt inside every door of their county.,0
"initially, the levy will apply only to dairy farms but we will extend a fair pollution levy to all forms of agriculture and horticulture over time.",0
