text,label,corpus_code
Work toward a more globally-competitive North America while expanding Canada’s trade horizons to take full advantage of markets in China and other new areas of rapid growth.,2,62420_200601
"A Conservative government led by Stephen Harper will ask the Auditor General to conduct, on an expedited basis, an audit of all federal grant and contribution programs and contracting policies.",2,62623_200406
"A Conservative government will: Create the Office of the Director of Public Prosecutions, with the responsibility to conduct prosecutions under federal jurisdiction.",1,62623_200601
Canadians are looking for evidence of a strong economy that brings direct benefits to them and their families.,0,62320_200601
"This improvement will be directed to the first tier of the benefit, which is not subject to clawback of provincial social assistance benefits.",0,62320_200601
and remove any requirement to abandon rights under the Atlantic Accord.,0,62110_200810
"Position more RCMP, Fisheries, and Environment protection officers in the North.",0,62320_200810
It is an ambitious international effort to ensure that 3 million people suffering from HIV/AIDS in poor countries receive urgently needed drug treatment by 2005.,1,62420_200406
"Modeled on proposed legislation in the US, New Democrats will take action to stop the import of toxic products and better protect Canadian children.",1,62320_200810
"Innovation drives competitiveness, growth, jobs and progress.",0,62420_200601
"To get there from here, market distortions created by a failure to internalize externalities must be removed.",2,62110_200810
"Expand the UNEP mandate to a supervisory one over all multilateral environmental treaties, much as the WTO supervises all trade agreements within the General Agreement on Tariffs and Trade (GATT).",0,62110_200810
"The Pearson scholarships will cover the cost of travel, tuition, lodging and study.",1,62420_200601
"For example, the Green Party of Canada will remove the GST from Arts and Culture products and services while imposing a carbon tax on burning hydrocarbons and releasing their by-products into the atmosphere.",0,62110_200810
"A Conservative government will: Ensure that party nomination and leadership races are conducted in a fair, transparent, and democratic manner.",1,62623_200601
and it is Canada’s entrepreneurs who will lead the way in the development of new technologies and products for the green economy.,0,62420_200810
"Two thousand years ago, when the historical Jesus of Nazereth was born, he was one of 200 million people on the planet.",0,62110_200810
"Through Jack Layton and the New Democrats’ Education Opportunity Plan, we will:",1,62320_200810
It is true that seniors use a disproportionate amount of health care dollars.,1,62110_200810
"Paul Martin, as Prime Minister, has demonstrated a proactive approach to Canada’s engagement in the world – a commitment to ensure for Canada an even greater role of pride and influence (see Box).",1,62420_200601
A re-elected Conservative Government will restore the 50 per cent inclusion rate that applied before the Liberals took office.,0,62623_200810
We will invest $750 million into this fund every year.,0,62320_200810
"If this were all just a numbers game, it wouldn’t matter very much to Canadians.",2,62420_200406
Housing affordability – Sound fiscal management combined with the control of inflation has led to record low interest rates.,2,62420_200406
A number of shortcomings have been identified in the existing program.,1,62420_200601
"– Expand the skills of Aboriginal people and their governments to manage their land, infrastructure and financing.",0,62420_200601
We see publicly-funded medicare as the Canadian ideal in action.,2,62420_200406
Targeted grants for low-income students could reverse this trend.,1,62110_200810
The Green Party approach is to think holistically.,0,62110_200810
"With billions of dollars in surplus, Ottawa doesn’t need new tax revenues.",2,62320_200601
"Support the development of initiatives to reduce the use of psychoactive drugs through better rehabilitation and prevention programs, especially for children",1,62110_200810
"The Liberal commitment to communities recognizes the need to help Aboriginals, especially the young, who are increasingly moving to cities in search of opportunity.",0,62420_200406
Respecting implementation of the inherent right to self-governance by creating legal space and recognition for the legitimacy and jurisdiction of indigenous governments with a properly compensated and trained public service,0,62320_200601
"Maintain the currently projected growth rates for transfers to persons such as elderly benefits and Employment Insurance,",1,62623_200601
"In collaboration with provinces, territories and First Nations, we will work toward a model of sustainable forest management in Canada’s boreal forests.",0,62320_200810
Jack Layton and Canada’s NDP will respect biodiversity by: Honouring Canada’s obligations to future generations by strengthening our support for national parks and reducing the fees they charge.,0,62320_200406
"– Reducing personal taxes by raising the basic personal amount, cutting marginal rates, and eventually increasing the threshold when the top rate kicks in to $200, 000;",1,62420_200601
and by developing a worldclass research faculty at smaller universities through the Canada Research Chairs.,1,62420_200601
Canada’s potential wind and tidal resources are amongst the best in the world.,2,62110_200810
"In our Green Vision, Canadians enjoy a higher quality of life,",1,62110_200810
"Re-institute the annual consultation between the Department of Justice and women’s groups to monitor progress on ending violence against women,",0,62320_200810
And they charge sky-high immigration fees to pay for their wasteful and corrupt spending on other departments of government.,0,62623_200601
* Call for the federal government to stop subsidizing all phases of the nuclear industry and Atomic Energy of Canada Limited (AECL) and stop promoting CANDU reactors.,2,62110_200810
Parliamentarians and Canadians will have the opportunity to debate its analysis and implications.,1,62420_200406
"resulting in more and better jobs for Canadians and strong, consistent economic growth.",0,62420_200406
And others have followed since.,1,62420_200810
reduce carbon/use more fossil fuels;,0,62110_200810
"We have witnessed the disintegration of our social safety net to the point where many Canadians, through no fault of their own, have been forced into unsafe, unhealthy living conditions.",0,62110_200810
Clean Air Act: to set and pursue a target that lives up to our responsibilities to the Kyoto Accord to address air pollution.,0,62320_200601
"– Directing the CRTC to require clear, binding, monitored and enforced performance standards for broadcasters,",0,62320_200601
"The results of 12 years of Liberal government are clear : education is more expensive, student debt is soaring and training is harder to find.",2,62320_200601
"Using this method, products and services are taxed, and thus priced, according to the positive or negative impacts caused throughout their lifecycle.",0,62110_200810
"It will help by enhancing our cherished social programs, especially our publicly funded, universally available system of health care, so that people get the care they need, when they need it.",1,62420_200406
This must change.,0,62420_200810
We will also lead the way in the UN Environmental Program initiative to develop a Global Mercury Reduction Agreement with key countries such as China.,1,62420_200601
A Liberal government will enhance the capability of the regional agencies (ACOA; CED-Q; Fednor; WD) to build the underlying capacity for sustainable economic growth and job creation – as exemplified by the Atlantic Innovation Fund.,0,62420_200406
"Ensure that Canadian companies abide by international human rights law and environmental standards when operating overseas, and develop and enforce sanctions if they do not.",1,62320_200810
provided funding to British Columbia and northern Alberta to combat the pine beetle crisis,0,62623_200810
Liberals agree.,1,62420_200601
"The regional economic development agencies (ACOA, CED-Q, WD and FedNor) all provide services targeted to assist women entrepreneurs including counselling and help with financing.",1,62420_200601
"Assert Canada's rights over our Arctic waters, including the Northwest Passage,",0,62623_200810
Green MPs would also urge Canada to purchase such opiate drugs and distribute them as part of our health and poverty related ODA programs.,1,62110_200810
People need good food.,0,62110_200810
"From now on, these appointments will be based on recommendations by experts, free of political influence.",0,62420_200406
Our changes will make sure each Canadian’s vote counts.,1,62320_200601
They are part of what makes us who we are as individuals and as a country.,2,62420_200406
A Nitrous Oxide Task Force will be established to recommend ways to reduce Canada’s N2O emissions by 85% by 2025.,0,62110_200810
"To hold government accountable for meeting these targets, Jack Layton’s legislation will:",1,62320_200810
cut pollution,0,62320_200406
Economic criminal investigations are often quite complex and require highly specialized legal teams and sophisticated information management.,0,62110_200810
"We have also extended successful programs that ensure essential community supports for the homeless (SCPI) and that assist low-income families, including those with disabilities, in making critical housing repairs and accommodations (RRAP).",1,62420_200601
Landfill gas accounts for 4% of Canada’s emissions.,0,62110_200810
It is important that the sentences fit the severity of the crimes.,2,62110_200810
"To help ensure Canadians will have adequate and affordable housing, Jack Layton and the New Democrats will:",1,62320_200810
"The more influential and persuasive our voice, the more likely it is that Canada will be able to encourage the world to move in a more positive direction.",1,62420_200406
while acting consistently with our international trading obligations.,2,62623_200406
A fair and objectively defined escalator formula will assure a steady increase in federal support.,0,62420_200406
Governments keep telling Canadians how they are going to “fix” the health care system.,1,62110_200810
"Creating two new national holidays to help parents spend more time with their children, one in February and one in June (August in Quebec), working towards a shorter work week, longer paid holidays and earlier and flexible retirement options, and encouraging job-sharing programs to enable families to spend more time together.",1,62320_200406
Expanded child care.,1,62320_200810
modeling this plan on European countries’ programmes that have the best track records in eliminating child poverty.,1,62110_200810
Now Canada ranks among the lowest of 30 OECD (Organization for Economic Cooperation and Development) countries in the ratio of doctors and acute care beds per thousand people.,1,62110_200810
"Direct $50 million in funding into community-based, educational, sporting, cultural, and vocational opportunities for young people at risk.",1,62623_200601
"Meanwhile, farmers increasingly rely on off-farm income to survive.",0,62110_200810
"Provided new resources for the Business Development Bank and Farm Credit Corporation specifically for venture capital investments, including at the earliest stages.",1,62420_200601
"Increasing the Child Tax Benefit to $4,900 per child and altering the program to permit Canada’s poorest families, who don’t pay tax, to qualify.",1,62320_200406
and create a federal framework for local and provincial carbon banks to encourage the purchase of local offsets.,0,62110_200810
– Work with communities and workers to foster the development of a viable and sustainable economic base.,0,62320_200601
to make Canada more competitive and better adapted to the 21st century.,0,62420_200810
"A Conservative government will renegotiate the Agreement on Internal Trade to end provincial exclusions, create a prompt and binding dispute settlement process, and allow greater mobility for workers.",0,62623_200406
A re-elected Conservative Government will do more to build pride in Canada's institutions and to project our strength abroad.,2,62623_200810
"In July 2003, Jack Layton joined with Greenpeace and the Canadian Auto Workers to unveil Canada’s first green car industrial strategy – one that shows how we can use technology, regulation and the private sector to create jobs by building green cars.",0,62320_200406
"At the core of that approach is affordable access to education and skills training, starting with an integrated early learning and childcare system.",1,62320_200601
and the development of fiscal tools to limit the negative impact of human activity on the Ecosphere.,0,62110_200810
"Increasing funding for research to halt the privatization of research on campus, allowing science to be examined on its merits, not vetted by the funding corporation.",1,62320_200406
and encourage the governments of Chad and the CAR to permit this.,1,62110_200810
f) Enhance the capacity of federal departments and agencies to protect and restore the health of aquatic ecosystems,0,62110_200810
"Contributions get no deduction, but withdrawals are not taxed.",2,62623_200406
"At 8.3 weeks, people are waiting a week longer between a GP referral and a specialist consultation than they were four years ago.",1,62320_200601
Helping low-income Canadians pay less for energy by making low-income residences the first phase of a residential energy retrofit program.,1,62320_200406
The subsequent delays for families wanting to re-unite in Canada are currently up to ten years in some places.,0,62320_200601
"Create an investment, regulatory, and security environment for our western ports to grow and flourish.",0,62623_200601
* Support changes to the Employment Standards law to provide equal protection to contract and temporary workers.,0,62110_200810
"Nevertheless, it appears to be moving very rapidly towards military, energy, natural resource, security, social and environmental policy integration en route to NAU.",1,62110_200810
Prevent the decriminalization of marijuana.,2,62623_200601
Cellulosic ethanol offers real potential in fuel switching in a transition to a technological leap.,0,62110_200810
q) Improves and strengthens the Canadian Organic Standard;,1,62110_200810
Providing incentives to fund public transit passes for employees by giving tax-exempt status to employer-provided transit benefits.,1,62320_200406
"We must ensure that commitments, like the ones made in Kelowna, are delivered in a timely fashion.",0,62320_200601
"A re-elected Conservative Government led by Stephen Harper will create a new, refundable tax credit on up to $500 of eligible fees for children under 16 who participate in eligible arts or cultural activities, such as music lessons, drama or art classes.",0,62623_200810
"At the core of our relationship, must be a respectful tone, even when we disagree.",0,62110_200810
"Canada has sold reactors to dictatorships, such as Argentina in the junta era.",1,62110_200810
"Canada is a trading nation,",2,62623_200601
"By putting in place a comprehensive price on carbon alongside effective regulations, we can let the market determine the most cost-effective means of reducing greenhouse gas emissions.",0,62420_200810
The Green Party’s down-to-earth solutions will work in Canada because they have worked around the world.,1,62110_200810
Higher contributions to social security and savings.,1,62320_200601
"Half of the increase takes effect on January 1, 2006, and the remaining instalment on January 1, 2007.",1,62420_200601
"In the next Parliament, we will introduce tough new rules in the legislation and agreements that govern federal transfers to provinces for health care.",1,62320_200601
Provide real help for Canadian workers and businesses coping with illegal American trade actions.,2,62623_200601
"The details and implementation of the 10-year action plan will be developed in collaboration with Aboriginal people, provinces, territories and municipalities.",0,62420_200601
A re-elected Conservative Government led by Stephen Harper will respect the unique needs of French-language broadcasting services in Quebec by guaranteeing alternating French- and English-speaking Chairpersons of the CRTC and that one of the two Vice- Chairpersons will be from each official language group.,0,62623_200810
There is a clear gain for Canada that comes from our Green Shift plan.,0,62420_200810
The Green Shift will be part of a broader environmental plan that we will offer to Canadians in the next election.,0,62420_200810
It will allow young Canadians to put money aside for purchasing a house.,2,62623_200406
The Green Party of Canada fully supports the Canada Health Act (CHA) and all of its principles.,1,62110_200810
Improvements in labour productivity drove economic growth after World War II.,0,62110_200810
and government needs to be responsive when it comes to farm income support and disaster relief.,0,62623_200601
* Establish specific job re-entry programmes for women with children who want to restart their working life either part-time or full-time.,1,62110_200810
"As part of the Liberal 30/50 Plan for fighting poverty in Canada, we aim to cut overall poverty by 30 per cent and cut child poverty in half within five years.",1,62420_200810
"* Review in collaboration with provincial and territorial governments, the current social and legal policies to ensure that citizens and law enforcement officials recognize elder abuse, prevent it where possible, and proceed with appropriate charges and punishment when elder abuse has occurred.",0,62110_200810
"In some parts of Canada, 60 % of people have no family doctor.",1,62110_200810
We recognize that human misery of this sort is not only a moral affront but also the breeding ground for despair and desperation.,1,62420_200406
Women there lack economic rights and political autonomy.,0,62110_200810
It will not be possible to implement the Tobin Tax effectively without every nation participating.,1,62110_200810
