text,label
"Changes to the RMA must be balanced against councils' publicly developed longterms plans and must also take cognizance of the substantial body of jurisprudence, as a consequence of the RMA.",0
■ We are committed to ending homelessness as defined by the Make Room campaign through a range of measures including greater provision of supported housing.,1
"children should be helped to develop the life skills they will need as adults,",1
"We will refocus council services in this area on homelessness prevention rather than crisis management, through expanding and combining multiple funding pots into a single grant distributed to councils.",1
"• further promote innovation by tax incentivised research and development comparative to other first world nations,",2
"Continue building the resilience of poorer countries to resist future disasters, investing in healthcare and infrastructure and training emergency response volunteers,",1
"employ New Zealanders,",1
and follow Scotland’s lead in putting wellbeing at the heart of policymaking.,0
However there needs to be a much greater emphasis on incorporating renewables and newer technologies into the generation mix to replace the ageing fleet of generators in an orderly fashion without exposing the economy to price or supply shocks.,0
A brighter future.,2
Our middle class has felt that burden most acutely.,0
"The criminal code is vast and complex, contained in hundreds of years of statutes and court judgments.",2
Labour will not introduce myxomatosis.,0
* keep maternity services free.,1
Why we need to do better than the Climate Change Act,0
We want to help those who have been caring for a child or children for a number of years or supporting an elderly relative.,0
 Boost research and development funding through GNS Science for carbon sequestration from thermal electricity generating plants.,0
The ANC government is not capable of fighting corruption because it is rotten to its core.,0
These new officers will take violent criminals off the streets and protect us and our country.,2
"We have set out the bold aim of achieving full employment, with the highest employment rate of any major economy.",1
I m proves outcomes forcitizens thatare benchma rked against other countries,0
"Similarly, many people would prefer to spend their last days at home rather than in hospital and a small increase in community care would save hospital beds and make the experience better for the dying patient, their family and friends.",1
"Direct the guardians of the New Zealand Superannuation Fund to prioritise the purchasing of shares in New Zealand infrastructure companies, particularly when they are being sold by overseas investors, with the aim of building a solid base of New Zealand ownership of these assets.",1
Allocated $265 million to help clean up lakes and rivers polluted by poor historic management.,0
"In a nutshell, if elected to serve this country, in the next five years we as the NFP shall work with you to deliver inter alia on the following seven priority areas: 1.Economic development",0
and evaluating how a system like the National Treatment Purchase Fund could assist in this area.,1
The Green Party will incentivise businesses to purchase electric vehicles by making electric vehicles exempt from fringe benefit tax.,0
"people with disabilities,",0
"Businesses supporting job seekers will be able to claim an additional deduction of up to $100,000 a year for hiring new staff.",2
"An extra £25 million a year will go to regional theatre, increasing the number and quality of productions for audiences in England.",0
Le blianta anuas cailleadh fostaíocht sna tionscail thradisiúnta sa Ghaeltacht.,1
which generate economic and environmental benefits for farmers and their surrounding communities.,0
"Departments will be directed to maintain a register of the directors of state boards under their remit, and will include dates of appointment and expected retirement dates and vacancies.",0
"For that, we are prayerfully grateful and salute all who have played a role in defending our homeland.",2
Labor has accounted for the reversal of these unlegislated measures in our final budget position.,2
Develop an all-island structure for environmental protection and enforcement,0
National Office for Crime Prevention: This should be established and located in the office of the president and headed by a CEO appointed under an annually renewable performance contract.,2
"To help match the right apprentice to the right apprenticeship and lift completion rates, the Government has established the Australian Apprenticeship Support Network, supported by $200 million of annual funding.",0
Budget 2011 allocated funding to this programme.,1
"Alliance also wants to ensure that Northern Ireland remains welcoming to all those from elsewhere in the European Union and the rest of the world who have made this region their home, helping to build our economy and enriching our society",0
Our investment of an additional £2 billion a year in education and training will improve skills and increase the nation's knowledge base.,0
"National is committed to independent, arms- length reporting to ensure that New Zealanders have a better understanding of key environmental information.",0
"to ensure that profitable, viable small and medium-sized businesses have access to capital, even when the rest of the commercial banking system can’t provide it.",2
"Ensure provision of high quality public services in rural areas to promote economic independence and equality, minimise rural exclusion and combat isolation.",0
"4. The EFF government will amend the legislation that governs the stock markets to introduce a minimum number of women, youth and workers as owners and beneficiaries of all listed companies.",0
and to support the tens of thousands of oil sands workers who have recently been laid off.,0
"We will: give you a say over whether we should stay in or leave the EU, with an in-out referendum by the end of 2017",0
"National is committed to the community and voluntary sector and will continue to work with it to ensure New Zealanders benefit from the generosity, expertise and goodwill of our volunteers.",2
"Gas prices have fallen, driving growth in the American economy and pushing down prices for consumers.",0
"Fair 100% payouts on red-zone land, because the earthquake was not anyone’s fault",0
"Make sure there is a job for everyone that wants one by 2018, with at least 150,000 jobs created over the next three years",0
"This election comes just a month before we celebrate the 800th anniversary of Magna Carta, a foundation stone of our liberties.",2
"Without Scotland’s historically low average farm payments, the UK would not have been eligible for additional EU ‘convergence uplift’ funding.",0
"We gave $2 billion to the family tax initiative in 1997,",2
"We will cancel Stephen Harper's tax breaks for the wealthy,",0
"Clean water is the birth-right of all of us, and vital to our continued prosperity.",0
We must make these programs actually anticipate dislocations so that affected workers can get new skills quickly and return to the workforce.,0
Support a review to ensure the right to privacy is included in the New Zealand Bill of Rights Act 1990.,2
"Funding for specific regional education tours for major tourism operators, similar to the programs now conducted by other countries, to enable travel consultants to gain a better understanding of what is on offer.",2
Liberal Democrats will also support the right of the people of Gibraltar to remain in the European Union.,0
"building schools,",1
including increasing the number of specialist nurses in hospital settings to address inequalities in the provision of health services.,1
"We endorse continued American support for Pakistan's security, economic, and social programs.",0
ACT believes that New Zealand’s environment is extremely valuable and faces real threats.,0
2. Extend fishing protections (prohibition of lethal set nets and trawl nets) to the entire Maui's range as defined by expert scientists.,0
Where a bonus scheme exists payments should be cleared by this board.,0
"At present, New Zealand and Australia have escaped the worst of the storm, as the quality of the assets in our banking systems has been higher.",2
Our water is New Zealand’s most important natural treasure.,0
The ambition of health and social care services working side by side cannot be achieved with the current inequality.,1
• Manage the move to digital television.,0
Schemes such as these can save people on low incomes the equivalent of up to two weeks’ rent.,0
Strengthen discipline at schools and encourage a culture of teaching and learning by ensuring that all educators and learners are at school during school hours;,1
not on the EU’s treaties,0
"In that divide, the Republican Party stands with the people.",2
"A Shorten Labor Government will deliver to the ABC the resources it needs to boost coverage of women’s sport, giving our female sports stars the recognition they so obviously deserve.",0
Teaching road safety and ensuring it is practiced in and around school property,1
improve access to affordable primary care,1
"and will consult and liaise locally over specific health needs and health-related Issues including water quality, transport and sewage systems, and noise pollution.",1
Support parents by extending paid parental leave to 18 weeks.,1
We’ve reformed the foreign trust disclosure rules to ensure they are fit for purpose,1
"end cronyism on State boards, and make Ministers and public servants accountable for their decisions.",0
"The school system remains highly centralised – with a centralised curriculum, and a centralised and bureaucratic remuneration system.",1
"Using a conservative analysis prepared by Infrastructure Partners Australia, a $10 billion infrastructure investment will directly create approximately 26,000 jobs",1
"Labor knows that increasing women’s participation and economic security requires action from all parts of the community and there is no area of Australian life, no sector of Australian community, that does not and will not benefit from the full and equal inclusion of women.",0
