text,left_right
labour will end this hostile environment.,2
democrats believe that the united states should defend freedom of the press.,2
"use a range of incentives to ensure that a ‘universally accessible’ new zealand applies to infrastructure, transportation, information, and other services.",0
"in time, we envisage a minimum base line funding for mental health services of 10 per cent of current health spending.",1
"children from socially deprived backgrounds are adversely affected because their applications for places are most likely to be turned down, especially if parents are unable to pay for ‘top-ups’ such as meals, nappies and so on.",1
"any form of brexit will damage our economy, put jobs at risk, hurt our nhs and put our family of nations under enormous strain.",0
"support claims for and the provision of health services to veterans and their children who have been affected by agent orange, nuclear testing and suffer such health issues as cancer.",1
the anc has decided to provide jobs for its supporters and to appease the powerful public sector trades unions in a context where the economy is actually contracting.,0
"we will: make saving energy a top infrastructure priority,",0
and a stronger commitment within the eu to a 50% reduction by 2030,0
they are now a fantastically competitive 27.,0
we have taken all these ideas into account in developing our plan for australia’s future.,1
"in recent years some of these services have been provided through charities and community employment and partnership schemes, which have been vulnerable to cutbacks during the recent downturn.",2
and the absence of the ni executive means that many of these issues have been left unaddressed.,0
ban plastic bags and incentivise the provision of more sustainable alternatives,0
national has a comprehensive plan to secure the future of quality care for older new zealanders.,1
we will continue to uphold our key alliances.,1
give you the freedom to invest and spend your pension however you like – and let you pass it on to your loved ones tax-free,0
"yes, our company tax rate was reduced last year, but taken together with the change in depreciation allowances the overall effect was to increase the effective corporate tax rate.",2
many communities are already responding to this challenge and the results of their work are most encouraging.,2
the authority of traditional monarchies and royalties is the backbone of rural communities.,0
"greens want to see an end to all animal experimentation and will ensure that research funding is directed away from failing animal disease models and towards modern human biology-based techniques, which offering greater opportunities to cure disease and improve product safety.",0
households earning less than r4000 a month will qualify for a voucher of between r130 000 and r150 000.,1
hope doesn't feed a hungry family.,1
and using early interventions for drug and alcohol addiction,1
create new tourist products and add value to our existing products.,0
"we should also give back to those who give to america, in the tradition of the g.i bill and americorps.",1
home renovation scheme: fine gael has extended the attractive and successful home renovation scheme to the end of 2016.,1
"we are determined to build a 21st century immigration system that embodies our values,",0
"there are huge inequalities between older people, and many have had difficult lives.",0
scrap the human rights act,0
reinstate extra funding for ece centres that employ 100 per cent qualified and registered teachers,1
the erosion of democracy in hong kong;,1
part of this is ensuring we continue our proud heritage as a nation that respects and embraces diversity.,0
and audio description for people who are blind or visually impaired.,0
and give our nhs workers the pay they deserve.,1
advocate for international initiatives to:assist developing countries to establish economic alternatives to forest clearance; and,0
for ten years there has been unprecedented revenue available to the irish government.,2
the changes to lending criteria set out by the central bank threaten to exclude substantial numbers of first time buyers from the market.,1
it is clear that foreign owned corporations and big business have a capacity and will to undermine australian pay and conditions,1
labor built medicare and we will always fight to protect it. labor will reverse the government’s freeze on the medicare benefits schedule.,1
"introduce a spending programme to counteract decades of underfunding,",1
"labour’s plan to expand the community care sector, to enable older people to be discharged from hospital and cared for in their communities, is detailed in our proposals on universal health insurance.",1
"brexit is bad for jobs,",0
good state servants freed up for more productive jobs,0
ensuring the commonwealth government leads by example as a direct purchaser of renewable energy.,0
"for example, treatment for aids takes place in an indiscriminate and ad hoc manner.",1
whilst imprisoned they will be required to take part in a determined course of education to ensure they fully understand the effects on the community and their victims of drink driving.,2
which will create good-paying jobs and raise wages.,1
3. the eff government will actively and materially support initiatives to organise and mobilise the disability sector so that it can constantly and integrally communicate its concerns and,0
you would be able to sell excess carbon units – or buy extra units if you need to.,0
"increasing home building: to meet housing demand fine gael will support an increase in the annual housing output to a sustainable level of 25,000 by 2021.",2
set up high performance sport new zealand to develop high performance athletes and further develop world-class training facilities in partnership with the private sector.,0
"these will be targeted at parents, carers and those wishing to upskill or reskill or to re-enter the workforce after a period of absence.",1
