text,left_right,corpus_code
"with the rest of the western world, canadians celebrated the end of the cold war and the years of peace that followed.",1,62623_201510
a final reconciliation will be provided before election day.,0,62420_200601
"– provide adequate housing, water, and infrastructure.",0,62320_200601
- appointing a special counsel to recover any misappropriated funds.,0,62420_200406
– provide loan insurance to enhance the creditworthiness of firms affected by the softwood lumber dispute.,1,62420_200601
"* establish rigorous “needs based” eligibility standards for basic income to permit an affordable benefit system that provides adequate benefit levels; and,",1,62110_200810
this will put up to $250 into the pockets of those working canadians who need it most.,1,62420_200810
suspending criminal records for individuals convicted of outdated and discriminatory offences which are no longer illegal.,0,62320_201510
"green party mps will: based on the green party’s holistic approach to international affairs, using a combination of diplomacy, defense and development, we not only reiterate our consistent pleas for action of past years but now urgently call on the government of canada to take an immediate ‘whole of government’ approach to the region and related conflicts in order to force a stop to the fighting",2,62110_200810
enacting a moratorium on genetically modified wheat to protect canadian export markets and supporting mandatory labelling of gm food at home.,2,62320_200406
"canada is a democracy, yet our democratic system has not kept pace with the needs of a changing society.",1,62623_200601
many canadians support restorative sentencing which promotes a sense of responsibility in the offender and secures amends for the victims of crime.,2,62110_200810
this will include legislating financial reforms to provide enhanced access to capital for community economic development,0,62320_200601
"wild fish, natural forests and productive agricultural soils represent some of the real wealth of a nation.",2,62110_200810
all ten provinces have now signed agreements with the federal government based on a nationally shared vision.,2,62420_200601
"(the 30 oecd member countries represent approximately 60 percent of the world’s economy, 70 percent of world trade and 20 percent of the world’s population.)",2,62110_200810
we have acted to control invasive species and provided funds to address the mountain pine beetle infestation in british columbia.,0,62420_200601
the ndp will expand access to shelter,1,62320_201510
these sector-based strategies will be accompanied by a systematic review of sector-specific tax measures.,1,62320_200810
the green budget coalition1 has said that carbon pricing of the sort we propose is “the most crucial opportunity” for environmental improvement,0,62420_200810
it is true that seniors use a disproportionate amount of health care dollars.,1,62110_200810
we will ensure that law-abiding citizens are free from unreasonable fees and the threat of criminalization.,0,62110_200810
establish the canadian coast guard as a stand-alone agency and honour the plans to invest $276 million over five years in expanding and updating the coast guard fleet.,2,62623_200601
* give fsc certified forest companies a full five-year full tax break upon certification.,0,62110_200810
we believe that most infrastructure decisions are best made at the provincial or local level.,0,62623_200406
"building upon earlier initiatives to heal these wounds, a liberal government will implement the recently concluded agreement in principle to provide compensation to eligible former students.",0,62420_200601
complete the integrated management plans of our three oceans.,0,62320_200810
"pursue international criminal investigations of existing military detention centers where human rights violations have been reported in iraq, cuba, afghanistan and elsewhere.",2,62110_200810
"ensuring women have access to safe, therapeutic abortion services.",0,62320_200406
we will end the cycle of federal parties – of all stripes – setting arbitrary targets without a real federal/provincial/territorial plan in place.,0,62420_201510
"a re-elected conservative government will increase support for the agri-marketing program to help promote canada's agricultural and agri-food products around the world, building on our international reputation for excellence",0,62623_201510
launching the action plan to address family violence and violent crimes against aboriginal women and girls.,1,62623_201510
what makes our social and economic fabric so strong is our desire and ability to welcome people from all over the world.,2,62320_201510
"for example, this past spring stephen harper promised the people of surrey, bc, additional rcmp support to help address the city's increasing concerns over guns and gang violence, but he has failed to deliver.",2,62320_201510
"when the world sees canada, it sees a model of diversity living in peace.",2,62320_200406
"this investment would build on current cihr-funded cancer research programs, among others;",1,62420_200601
– retrofit 75% of all buildings used by the federal government and its agencies between 2006 and 2010.,0,62320_200601
"a green government will pay a no-trip vehicle allowance to all federal staff working from home,",1,62110_200810
stephen harper never seems to let the facts get in the way of whatever story he is trying to tell.,2,62320_201510
•a belief that the quality of the environment is a vital part of our heritage to be protected by each generation for the next;,0,62623_200406
"including standing up for ukraine in the face of russian aggression,",0,62623_201510
* support global verification and certification standards for carbon credits.,1,62110_200810
recognizing aboriginal self-governance as a fundamental component of a modern federal state.,0,62320_200406
"the legislation was rooted in a historic agreement with the assembly of first nations and was backed by significant new funding for core education programming, including language and cultural programming.",0,62623_201510
the liberals have failed for over ten years to reform parliament.,2,62623_200406
and we are the first government in canadian history to achieve an absolute reduction in greenhouse gas emissions through responsible sector-by-sector regulation.,0,62623_201510
"through programs such as the atlantic innovation fund, the liberal government has spurred the growth of knowledge-based industries by building stronger linkages between universities and the private sector.",0,62420_200601
they are also a multi-talented resource in communities across canada where reserve units are located.,2,62420_200406
we will transfer the policy and science branches of fisheries and oceans to the east and west coasts to better understand and respond to the concerns of fishers.,0,62623_200406
this change will provide additional financial supports to the most vulnerable families with children and is a direct way to reduce child poverty.,1,62320_201510
canada’s role in un peacekeeping efforts has diminished over time.,1,62110_200810
and establish a parliamentary task force on other pro-active methods for discovering and eliminating internet sales.,2,62320_200601
"place each of these minimum penalties at four years, up from current one-year penalty.",2,62320_200601
"under stephen harper, too many canadian seniors are living in poverty and it's leaving them vulnerable in their hard-earned retirement.",2,62320_201510
estimated annual cost in year four: $482 million.,1,62420_200810
"introduced the $2,000 family tax cut for families with children.",2,62623_201510
we will reaffirm the canadian government's position that nafta cannot require canada to export bulk water to other nafta countries.,1,62623_200810
"we also believe that democracy, by definition, must be decided by citizens, not politicians.",1,62110_200810
and undertake consultations with stakeholders and provinces to improve the program’s accessibility by extending the current benefit to meet the needs of part-time workers.,0,62420_200601
